TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CSRN5;20,80;21,41;6,68;2,50;0,64;27,52;22,10;14,84;4,49;6,90;2,35;1,31;0,99;-10,47;-0,88;0,82;37,41;9,59;18,97;0,26;0,74;0,65;15,05;25,02;10.610,50;8,32;3,11;0,90;3.547.838.270,00
CSRN6;21,00;21,21;6,75;2,52;0,65;27,52;22,10;14,84;4,53;6,90;2,35;1,31;1,00;-10,57;-0,89;0,82;37,41;9,59;18,97;0,26;0,74;0,65;15,05;25,02;3.433,33;8,32;3,11;0,90;3.547.838.270,00
CSUD3;11,58;7,53;7,09;1,33;0,82;36,51;18,99;12,96;4,83;4,98;0,01;0,00;0,92;22,45;-1,18;1,14;18,83;11,58;15,97;0,61;0,39;0,89;1,99;14,37;1.304.066,54;8,68;1,63;0,39;497.420.000,00
CTCA3;0,00;;0,00;0,00;0,00;66,43;43,27;32,33;0,00;-1,71;-1,71;-0,38;0,00;0,00;0,00;3,65;16,78;14,28;13,20;0,85;0,15;0,44;25,98;60,33;;2,47;0,41;0,00;0,00
CTKA3;21,72;;-8,79;-0,83;0,22;35,60;3,99;-2,50;5,50;26,39;22,58;;0,22;0,80;-0,71;1,70;-9,46;-2,56;5,30;-0,27;1,27;1,02;12,05;;2.172,00;-26,13;-2,47;0,07;93.426.495,47
CTKA4;9,29;;-3,76;-0,36;0,10;35,60;3,99;-2,50;2,35;26,39;22,58;;0,09;0,34;-0,30;1,70;-9,46;-2,56;5,30;-0,27;1,27;1,02;12,05;;6.913,18;-26,13;-2,47;0,03;93.426.495,47
CTNM3;6,67;;-1,10;0,33;0,05;28,53;1,27;-9,39;8,10;50,54;45,61;1,87;0,10;-2,39;-0,09;0,95;-30,32;-4,63;0,18;0,15;0,72;0,49;-3,61;;875,83;20,06;-6,08;-0,01;124.238.851,16
CTNM4;1,88;;-0,31;0,09;0,01;28,53;1,27;-9,39;2,28;50,54;45,61;1,87;0,03;-0,67;-0,02;0,95;-30,32;-4,63;0,18;0,15;0,72;0,49;-3,61;;19.521,11;20,06;-6,08;0,00;124.238.851,16
CTSA3;2,89;;-2,33;0,29;0,13;10,14;-3,75;-7,12;-4,43;-11,49;-7,06;0,46;0,17;-2,24;-0,19;0,84;-12,34;-5,57;-8,29;0,45;0,55;0,78;9,79;;12.403,08;10,05;-1,24;0,01;80.413.617,09
CTSA4;1,86;;-1,50;0,19;0,08;10,14;-3,75;-7,12;-2,85;-11,49;-7,06;0,46;0,11;-1,44;-0,12;0,84;-12,34;-5,57;-8,29;0,45;0,55;0,78;9,79;;26.633,57;10,05;-1,24;0,01;80.413.617,09
