TICKER,Graham
NEMO6,0.0
PTCA3,0.0
PTCA11,0.0
BFRE11,0.0
BFRE12,0.0
PINE3,0.0
BOBR3,0.0
NRTQ3,0.0
BRBI3,0.0
BRBI4,0.0
NEMO3,0.0
MTIG3,0.0
BRQB3,0.0
LUXM3,0.0
LHER4,0.0
LHER3,0.0
CATA4,0.0
INNT3,0.0
GRAO3,0.0
FLEX3,0.0
FIGE4,0.0
FBMC3,0.0
QUSW3,0.0
RSUL3,0.0
CTCA3,0.0
STTR3,0.0
STKF3,0.0
TEKA3,0.0020010775686691677
OSXB3,0.002486788675957525
TEKA4,0.005957035289476866
SNSY5,0.009223077894804938
FBMC4,0.009604009775542365
CCXC3,0.010542213421963863
RPMG3,0.011730633204444117
SNSY3,0.01350854843178501
HETA4,0.01701904172620911
ATMP3,0.017296944562137158
CORR3,0.01871350617188187
APTI3,0.020182262146126083
ESTR3,0.022243240750051522
RSID3,0.02271177132757277
GSHP3,0.025738026321803224
PPAR3,0.026361686275833008
MNDL3,0.02781495573028317
PMAM3,0.02935222345367062
TXRX4,0.03608999427521716
IGBR3,0.03628479774395808
JFEN3,0.041306299965787274
SNSY6,0.04139516105648142
CATA3,0.04359310582311694
ESTR4,0.049972314471604516
SYNE3,0.09528349398644301
MMXM3,0.101894179765492
AVLL3,0.11391556002720707
OIBR3,0.12749105166233532
FIGE3,0.13209921522101303
PLAS3,0.13384271322408345
EUCA4,0.15846713332823245
MRFG3,0.16628332937234333
HBRE3,0.17592948865729585
USIM3,0.18240839082063662
TXRX3,0.1851325339244526
USIM5,0.18623848826568937
NORD3,0.2000444592647484
PCAR3,0.20665341314275054
HBOR3,0.20999111217041955
VIVR3,0.22652279424503025
COCE6,0.2268384756805242
PETR4,0.22811205186137185
FRIO3,0.22935591085620025
ELPL3,0.23010105145195942
EUCA3,0.23286801436602667
BAZA3,0.2434154296466859
CTKA4,0.25218192011285745
PETR3,0.2581409068313691
BRGE7,0.26490503701664847
MYPK3,0.26745101468932525
PFRM3,0.2678980875194739
MDNE3,0.270767429022304
LOGG3,0.28037587568273487
BBAS3,0.28978608009671875
BRSR6,0.29132589814228776
TECN3,0.29207549409732003
GOAU3,0.29930044152827534
DMVF3,0.3015313685754333
OGXP3,0.30502210482953446
OIBR4,0.30810337485064365
BRAP3,0.31671154187407474
SAPR3,0.32210339880290567
MOVI3,0.32293423482585526
BNBR3,0.3244520031793215
JBSS3,0.32490302141373045
DOTZ3,0.3264233543863204
NEMO5,0.3273559296329873
BRSR3,0.3283347255935882
EALT4,0.3293446490272734
NEOE3,0.33360421248031075
GOAU4,0.3342229252563075
GGBR3,0.34078016091364677
SAPR11,0.3426278273112587
TKNO4,0.34375234054156917
ALLD3,0.3452747329585226
USIM6,0.34734196204822015
CEBR6,0.3475562645412872
BALM4,0.34867713318730154
CGRA4,0.3494325218523768
SAPR4,0.3510101140800895
JHSF3,0.3535777425160628
NAFG4,0.3555043929714512
APTI4,0.35740699003967463
ENAT3,0.3595576769774848
JOPA3,0.359827488426817
BRAP4,0.36093210238123363
PTNT4,0.3637482745619585
TKNO3,0.36823808418322246
CGRA3,0.37287006904979236
MELK3,0.378869122854455
BALM3,0.37970939804097137
PINE4,0.3800663849256561
FNCN3,0.3836857385184118
CEBR3,0.3928741758315782
EVEN3,0.3930924113841479
LLIS3,0.39310431387842226
ETER3,0.3967102642780096
HETA3,0.39946895005282995
MTSA4,0.4020652553541616
CEBR5,0.4060770318767811
AZUL4,0.4078315613178858
CLSC3,0.4089100989226124
UCAS3,0.40993368789900436
EALT3,0.41155472221478573
MLAS3,0.4124685024007666
TASA4,0.415579315894111
MTRE3,0.4180575120344058
TASA3,0.4228182271765104
GGBR4,0.4242807890452324
BGIP4,0.42519968500627725
RAPT3,0.42565769688435917
LVTC3,0.4370899663478305
BMEB3,0.4394731072794533
BMIN4,0.4401152057778043
DXCO3,0.4410555159075129
BRGE11,0.4415083950277474
POSI3,0.44197335817431704
DEXP4,0.44258048662937316
POMO3,0.4431543272251945
CLSC4,0.44477647235090945
BMGB4,0.4448416171624559
BMEB4,0.44526150686874705
ABCB4,0.44701145728999153
BPAT33,0.4526312177686535
BBDC3,0.4533880267006529
BRGE8,0.4537725171118515
EPAR3,0.4539164613920457
BMKS3,0.45448603614117145
CYRE3,0.4562690084565821
RPAD6,0.45803395415627446
RANI4,0.4595989731637538
RAPT4,0.464922912238665
TRPL4,0.468630266420084
ENBR3,0.47039857030760707
GOLL4,0.47194419414553646
BRSR5,0.47415583204700257
RPAD5,0.4752532757410968
MRVE3,0.4762725288589274
BEES3,0.4769140691680825
FHER3,0.48429118394901954
ADHM3,0.48500794825843646
PRNR3,0.48540663533855394
BRGE12,0.4856592345305222
SANB3,0.48621339726835877
EZTC3,0.4918794963204466
DEXP3,0.4919222300711614
COCE5,0.4922525085190301
TRIS3,0.49443270825302826
NUTR3,0.4962904837707022
BRGE3,0.4984139214979904
BEES4,0.5065667574065125
RPAD3,0.5096919189107415
BBDC4,0.5106082197810409
POMO4,0.5109840711882344
ITSA4,0.5113805002519347
CRPG5,0.5120010276385969
SANB11,0.5142497865837288
CRPG6,0.520271813469682
CBAV3,0.5206234557870892
SOND5,0.5248702406124471
CMIG4,0.5250832812651497
FESA4,0.5256460743979156
CAMB3,0.5317419532291701
RCSL4,0.5366563145999494
ROMI3,0.537865991911158
LAVV3,0.54350744310957
SOND6,0.5440420469020399
SANB4,0.5458395669745196
AURA33,0.5524195273444045
AZEV4,0.5559669258863063
QUAL3,0.5577051158784467
